iter	RMSE
0	21785.57311
1	21023.6698
2	20366.81105
3	19796.63046
4	19330.94154
5	18913.21429
6	18568.81809
7	18265.73046
8	18006.19191
9	17416.45016
10	17145.56077
11	16913.45951
12	16408.64006
13	16194.18438
14	16017.41091
15	15593.63101
16	15436.71265
17	15083.92069
18	14954.35556
19	14828.07309
20	14683.31342
21	14574.29515
22	14455.1016
23	14231.85
24	14164.23797
25	13937.93249
26	13842.18191
27	13651.64318
28	13570.0423
29	13408.02449
30	13325.66096
31	13254.91687
32	13175.20495
33	13097.84015
34	13039.11359
35	12912.8584
36	12857.02267
37	12767.11854
38	12695.64781
39	12658.82809
40	12547.29086
41	12456.39734
42	12403.83902
43	12359.23324
44	12295.53905
45	12255.42527
46	12198.49683
47	12148.83526
48	12050.03762
49	12020.52018
50	11942.66968
51	11896.40292
52	11866.22131
53	11808.18428
54	11743.07158
55	11709.27049
56	11664.50225
57	11609.90991
58	11574.33912
59	11531.36794
60	11504.65805
61	11441.02187
62	11399.94615
63	11371.68202
64	11322.52997
65	11270.44877
66	11235.09144
67	11209.58993
68	11181.63889
69	11158.04005
70	11122.38104
71	11102.26177
72	11068.09273
73	11036.48622
74	10993.47073
75	10965.1618
76	10915.18389
77	10893.43641
78	10874.79068
79	10854.6015
80	10819.25992
81	10789.37361
82	10715.63907
83	10694.1166
84	10675.21189
85	10647.70018
86	10584.30393
87	10557.31535
88	10504.99783
89	10451.17173
90	10418.46182
91	10382.82377
92	10337.36188
93	10318.97127
94	10288.44258
95	10257.77463
96	10211.83039
97	10183.83056
98	10165.05801
99	10148.57892
100	10121.47716
101	10053.70375
102	10036.40961
103	10002.60505
104	9976.920703
105	9934.565587
106	9909.828654
107	9876.442094
108	9854.158206
109	9836.654094
110	9816.207326
111	9779.877872
112	9752.299712
113	9720.117089
114	9698.040119
115	9685.119407
116	9663.021072
117	9638.042102
118	9621.496506
119	9601.228129
120	9588.282865
121	9563.394539
122	9541.367669
123	9522.100875
124	9506.081709
125	9489.380641
126	9476.798462
127	9456.546647
128	9440.48897
129	9419.142871
130	9386.116797
131	9374.014466
132	9360.887404
133	9353.976749
134	9336.899609
135	9319.560551
136	9301.721368
137	9290.389049
138	9266.083369
139	9250.206022
140	9233.061819
141	9213.484032
142	9194.551326
143	9180.257146
144	9164.473205
145	9128.404923
146	9114.677088
147	9092.034254
148	9077.06628
149	9062.805198
150	9054.702925
151	9043.746186
152	9022.337024
153	9010.505148
154	8990.687366
155	8973.583407
156	8957.726729
157	8939.924081
158	8929.091429
159	8915.790362
160	8902.391188
161	8892.591754
162	8884.980371
163	8870.200117
164	8855.831038
165	8839.441132
166	8817.556983
167	8808.302359
168	8799.317401
169	8781.546781
170	8773.51166
171	8765.232072
172	8755.160884
173	8741.240953
174	8730.735934
175	8715.752046
176	8705.903852
177	8681.774515
178	8668.600101
179	8656.681124
180	8637.597
181	8627.583939
182	8614.475096
183	8602.551195
184	8590.938921
185	8583.089999
186	8569.037645
187	8551.574989
188	8539.068233
189	8533.014793
190	8518.817233
191	8510.120177
192	8501.236444
193	8491.677799
194	8483.688935
195	8466.975154
196	8456.545419
197	8448.331867
198	8438.26201
199	8430.447888
200	8408.742896
201	8401.019868
202	8379.514332
203	8361.124731
204	8347.319131
205	8338.479738
206	8333.134746
207	8326.834584
208	8319.605413
209	8307.169411
210	8300.481859
211	8289.203621
212	8278.973557
213	8267.575156
214	8258.246207
215	8245.060262
216	8238.865308
217	8229.908312
218	8221.148106
219	8212.018623
220	8206.136055
221	8196.995709
222	8188.009845
223	8173.342504
224	8168.088971
225	8162.838571
226	8156.912015
227	8144.78032
228	8136.647215
229	8129.05894
230	8116.305388
231	8110.706434
232	8101.892986
233	8094.951362
234	8086.918572
235	8074.412535
236	8059.955078
237	8054.033926
238	8041.8213
239	8033.438931
240	8027.393236
241	8019.964958
242	8015.042707
243	8007.873395
244	8001.514283
245	7996.392355
246	7988.060635
247	7980.561139
248	7969.867262
249	7959.857602
250	7952.290725
251	7935.269281
252	7930.577801
253	7924.010098
254	7916.584756
255	7904.946978
256	7899.394002
257	7892.047701
258	7883.873319
259	7880.97541
260	7873.618444
261	7863.566814
262	7857.675247
263	7849.732762
264	7844.039865
265	7834.59781
266	7828.554061
267	7814.55404
268	7779.862253
269	7774.357737
270	7763.370812
271	7756.344391
272	7751.647792
273	7744.467573
274	7738.094011
275	7734.794189
276	7725.220577
277	7716.355046
278	7711.378441
279	7707.229018
280	7698.660605
281	7690.640205
282	7680.36878
283	7674.646148
284	7669.085766
285	7659.475628
286	7654.368508
287	7649.706513
288	7642.435578
289	7638.102307
290	7628.432026
291	7621.683825
292	7617.868411
293	7614.062228
294	7600.521629
295	7595.29497
296	7583.197964
297	7576.4137
298	7568.157245
299	7564.944838
300	7559.948009
301	7552.212417
302	7545.292261
303	7538.747193
304	7534.761747
305	7529.244153
306	7525.517125
307	7520.187016
308	7516.227016
309	7508.817811
310	7502.054695
311	7491.427876
312	7484.018616
313	7479.797641
314	7473.703205
315	7469.677469
316	7463.865465
317	7459.434496
318	7456.561119
319	7451.739085
320	7445.964791
321	7439.856236
322	7434.856215
323	7412.106649
324	7406.349176
325	7402.506476
326	7397.910066
327	7394.595813
328	7387.284133
