iter	Passed	Remaining
0	41	41917
1	72	36329
2	116	38564
3	159	39674
4	192	38213
5	228	37848
6	261	37093
7	290	36010
8	329	36310
9	375	37141
10	420	37840
11	470	38700
12	520	39491
13	553	38973
14	594	39016
15	642	39494
16	684	39593
17	721	39355
18	763	39423
19	797	39088
20	834	38901
21	873	38811
22	907	38530
23	950	38662
24	994	38769
25	1037	38862
26	1078	38872
27	1123	39016
28	1171	39239
29	1213	39232
30	1254	39226
31	1296	39232
32	1336	39150
33	1370	38951
34	1416	39062
35	1459	39091
36	1504	39147
37	1550	39264
38	1594	39293
39	1637	39297
40	1677	39232
41	1722	39284
42	1767	39334
43	1806	39241
44	1843	39122
45	1902	39449
46	1957	39682
47	2005	39778
48	2049	39785
49	2090	39713
50	2131	39654
51	2176	39672
52	2214	39564
53	2255	39511
54	2308	39656
55	2347	39565
56	2386	39485
57	2424	39371
58	2461	39251
59	2499	39157
60	2542	39131
61	2579	39027
62	2617	38927
63	2650	38758
64	2688	38672
65	2730	38647
66	2768	38555
67	2810	38519
68	2848	38432
69	2891	38414
70	2929	38332
71	2970	38292
72	3011	38245
73	3051	38184
74	3093	38152
75	3129	38048
76	3170	38003
77	3211	37964
78	3253	37930
79	3296	37910
80	3334	37831
81	3375	37786
82	3414	37723
83	3450	37629
84	3492	37597
85	3533	37551
86	3565	37417
87	3595	37263
88	3635	37211
89	3658	36993
90	3697	36929
91	3733	36851
92	3772	36796
93	3819	36813
94	3862	36799
95	3901	36739
96	3947	36745
97	3990	36727
98	4032	36703
99	4073	36661
100	4113	36614
101	4156	36593
102	4197	36557
103	4239	36526
104	4277	36462
105	4315	36396
106	4355	36353
107	4395	36300
108	4436	36263
109	4478	36235
110	4521	36211
111	4561	36165
112	4600	36108
113	4635	36030
114	4674	35971
115	4715	35938
116	4756	35896
117	4796	35849
118	4830	35763
119	4866	35690
120	4911	35681
121	4958	35688
122	5000	35652
123	5041	35615
124	5084	35593
125	5130	35590
126	5171	35551
127	5203	35451
128	5250	35449
129	5290	35406
130	5335	35390
131	5375	35350
132	5414	35298
133	5456	35263
134	5498	35228
135	5542	35210
136	5580	35154
137	5621	35115
138	5665	35092
139	5708	35064
140	5748	35019
