iter	MAE
0	12953.64245
1	12602.49206
2	12200.02202
3	11871.99182
4	11676.20039
5	11392.01854
6	11222.9266
7	11085.18766
8	10850.56849
9	10724.37794
10	10501.52622
11	10280.02833
12	10088.85675
13	9959.706014
14	9820.713846
15	9650.796856
16	9499.345283
17	9435.053226
18	9379.468396
19	9269.654963
20	9131.439712
21	9102.772964
22	9036.577623
23	8988.255796
24	8952.415564
25	8888.877143
26	8838.205819
27	8758.247285
28	8693.919972
29	8656.620929
30	8626.615835
31	8564.598303
32	8498.628884
33	8477.372061
34	8413.702259
35	8389.206567
36	8355.994329
37	8337.864919
38	8295.214496
39	8245.32268
40	8226.081288
41	8184.608912
42	8145.81023
43	8123.694051
44	8050.850436
45	8036.772369
46	7991.781243
47	7962.458461
48	7951.134282
49	7887.063014
50	7855.05182
51	7834.147704
52	7820.181455
53	7749.255913
54	7687.176076
55	7676.614886
56	7663.118252
57	7652.478268
58	7633.309214
59	7621.188953
60	7598.878308
61	7582.967929
62	7570.691215
63	7536.658506
64	7516.617142
65	7398.260094
66	7346.762105
67	7315.692902
68	7291.263866
69	7277.222742
70	7256.730133
71	7228.823375
72	7199.832447
73	7097.489619
74	7070.686095
75	7021.249308
76	6999.15686
77	6989.635957
78	6909.16932
79	6849.568214
80	6844.248821
81	6835.189478
82	6798.968066
83	6750.156875
84	6733.169442
85	6721.575669
86	6696.583147
87	6649.635447
88	6627.019212
89	6613.704589
90	6568.951927
91	6546.689761
92	6537.449676
93	6522.559123
94	6502.145514
95	6471.918824
96	6453.841363
97	6434.258105
98	6395.177152
99	6375.908233
100	6367.343629
101	6347.657351
102	6318.287752
103	6311.391515
104	6306.294952
105	6292.217448
106	6281.953376
107	6253.702318
108	6218.423376
109	6201.905998
110	6198.232554
111	6187.470492
112	6153.9367
113	6123.090942
114	6091.470189
115	6077.097677
116	6065.595899
117	6050.08038
118	6024.360803
119	6009.960973
120	5989.059449
121	5970.33069
122	5957.209637
123	5941.279507
124	5928.58191
125	5911.529465
126	5900.338022
127	5888.344684
128	5881.208943
129	5876.335479
130	5865.51376
131	5849.211199
132	5833.714572
133	5824.804799
134	5815.93876
135	5809.333696
136	5795.050205
137	5783.303192
138	5772.822089
139	5759.799092
140	5743.925013
141	5737.026739
142	5733.712525
143	5729.076226
144	5710.343646
145	5699.789487
146	5694.316057
147	5680.988776
148	5671.857791
149	5664.733081
150	5652.197793
151	5640.284327
152	5630.946576
153	5624.780061
154	5616.023861
155	5610.793095
156	5582.652083
157	5562.00093
158	5552.048391
159	5548.788852
160	5523.216658
161	5512.995093
162	5503.994798
163	5500.845761
164	5495.351402
165	5490.02099
166	5480.610111
167	5476.559084
168	5471.663229
169	5463.580733
170	5456.396629
171	5449.327945
172	5440.112577
173	5427.910441
174	5417.797192
175	5405.541538
176	5395.387812
177	5387.143322
178	5377.43721
179	5369.076837
180	5341.616762
181	5335.646575
182	5329.290327
183	5325.516513
184	5319.377828
185	5300.254213
186	5294.708622
